# Optical absorption spectrum of Chlorophyll a in diethyl ether
#
# Data from PhotochemCAD 2.1a has been munged on  2 June 2017 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by J. Li on 12-11-1997 using a Cary 3.  
# The absorption values were collected using a spectral bandwidth of 1.0 nm, a signal averaging time of 0.133 sec, a data interval of 0.25 nm, and a scan rate of 112.5 nm/min.
#
# These measurements were scaled to make the molar extinction coefficient match
# the value of 111700 cm-1/M at 427.8 nm.  These values were 
# then interpolated to report extinction coefficients at regular 1nm intervals
#
# The reported molar extinction coefficient is from
# Strain, H. H., M. R. Thomas and J. J. Katz (1963) Spectral absorption properties of ordinary and fully deuteriated chlorophylls a and b.  Biochim. Biophys. Acta 75, 306-311.
#
##Wavelength (nm)	Molar Extinction (cm-1/M) 
450.43	2787
450.62	2798
450.81	2596
451	2422
451.18	2476
451.37	2512
451.56	2292
451.75	2275
451.93	2421
452.12	2159
452.31	2292
452.5	2360
452.68	2212
452.87	2207
453.06	2132
453.25	2088
453.43	1981
453.62	1943
453.81	1774
454	1979
454.18	1910
454.37	1980
454.56	1943
454.75	1741
454.93	1765
455.12	1740
455.31	1868
455.5	1821
455.68	1556
455.87	1511
456.06	1565
456.25	1602
456.43	1541
456.62	1478
456.81	1576
457	1438
457.18	1529
457.37	1458
457.56	1461
457.75	1515
457.93	1502
458.12	1266
458.31	1491
458.5	1589
458.68	1339
458.87	1267
459.06	1270
459.25	1181
459.43	1336
459.62	1148
459.81	1233
460	1246
460.18	1241
460.37	1073
460.56	1410
460.75	1250
460.93	1308
461.12	946
461.31	1138
461.5	1196
461.68	1207
461.87	1143
462.06	1266
462.25	1202
462.43	1141
462.62	1142
462.81	1258
463	1048
463.18	1061
463.37	1076
463.56	1142
463.75	1087
463.93	1104
464.12	1073
464.31	1044
464.5	995
464.68	1081
464.87	1077
465.06	1101
465.25	1257
465.43	1059
465.62	1084
465.81	1102
466	1023
466.18	1036
466.37	1027
466.56	1139
466.75	849
466.93	998
467.12	1031
467.31	876
467.5	1015
467.68	921
467.87	973
468.06	835
468.25	1015
468.43	979
468.62	828
468.81	871
469	1001
469.18	1069
469.37	1059
469.56	1094
469.75	913
469.93	1051
470.12	907
470.31	933
470.5	827
470.68	979
470.87	1066
471.06	861
471.25	936
471.43	878
471.62	945
471.81	940
472	1055
472.18	802
472.37	1107
472.56	959
472.75	832
472.93	1149
473.12	1009
473.31	777
473.5	1027
473.68	895
473.87	1062
474.06	1076
474.25	939
474.43	793
474.62	1032
474.81	1092
475	990
475.18	941
475.37	885
475.56	1011
475.75	1084
475.93	1258
476.12	1163
476.31	940
476.5	853
476.68	1115
476.87	1070
477.06	1093
477.25	950
477.43	1139
477.62	1205
477.81	874
478	957
478.18	1062
478.37	1146
478.56	1168
478.75	1047
478.93	1365
479.12	1078
479.31	1122
479.5	991
479.68	999
479.87	1189
480.06	1320
480.25	1149
480.43	1180
480.62	1207
480.81	1219
481	1200
481.18	1219
481.37	1227
481.56	1247
481.75	1457
481.93	1211
482.12	1308
482.31	1440
482.5	1384
482.68	1171
482.87	1377
483.06	1363
483.25	1456
483.43	1514
483.62	1442
483.81	1554
484	1370
484.18	1261
484.37	1417
484.56	1366
484.75	1554
484.93	1449
485.12	1493
485.31	1431
485.5	1503
485.68	1558
485.87	1330
486.06	1665
486.25	1593
486.43	1622
486.62	1681
486.81	1596
487	1641
487.18	1587
487.37	1511
487.56	1514
487.75	1610
487.93	1720
488.12	1601
488.31	1680
488.5	1721
488.68	1630
488.87	1851
489.06	1811
489.25	1763
489.43	1656
489.62	1631
489.81	1652
490	1705
490.18	1635
490.37	1699
490.56	1713
490.75	1753
490.93	1814
491.12	1733
491.31	1789
491.5	1740
491.68	1807
491.87	1742
492.06	1870
492.25	1829
492.43	1835
492.62	1738
492.81	1703
493	1825
493.18	1781
493.37	1735
493.56	1722
493.75	1730
493.93	1652
494.12	1775
494.31	1887
494.5	1846
494.68	1717
494.87	1818
495.06	2002
495.25	1772
495.43	1775
495.62	1807
495.81	1948
496	1616
496.18	1790
496.37	1873
496.56	1785
496.75	1806
496.93	1804
497.12	1900
497.31	1745
497.5	1778
497.68	1909
497.87	1856
498.06	1925
498.25	1944
498.43	1779
498.62	1586
498.81	1688
499	1892
499.18	1695
499.37	1907
499.56	1977
499.75	1949
499.93	1716
500.12	1834
500.31	2008
500.5	1878
500.68	2046
500.87	1955
501.06	1875
501.25	1908
501.43	1901
501.62	1805
501.81	1872
502	1806
502.18	1740
502.37	1774
502.56	1876
502.75	1789
502.93	1947
503.12	2099
503.31	1733
503.5	1935
503.68	1956
503.87	1753
504.06	1740
504.25	1611
504.43	1879
504.62	1906
504.81	1790
505	1905
505.18	1941
505.37	1850
505.56	1898
505.75	1867
505.93	1894
506.12	1965
506.31	1898
506.5	1688
506.68	1808
506.87	1690
507.06	1836
507.25	1753
507.43	1883
507.62	1767
507.81	1916
508	1760
508.18	1782
508.37	1666
508.56	1764
508.75	1847
508.93	1939
509.12	1971
509.31	1775
509.5	1970
509.68	1794
509.87	1999
510.06	2009
510.25	1930
510.43	1894
510.62	2069
510.81	2015
511	1914
511.18	1928
511.37	1939
511.56	1876
511.75	1960
511.93	1953
512.12	1925
512.31	2114
512.5	1890
512.68	1966
512.87	2114
513.06	2136
513.25	2216
513.43	2179
513.62	2180
513.81	2084
514	2397
514.18	2274
514.37	2084
514.56	2147
514.75	2291
514.93	2147
515.12	2433
515.31	2315
515.5	2554
515.68	2220
515.87	2494
516.06	2534
516.25	2358
516.43	2545
516.62	2464
516.81	2582
517	2704
517.18	2621
517.37	2628
517.56	2760
517.75	2624
517.93	2816
518.12	2788
518.31	2816
518.5	2747
518.68	2824
518.87	2745
519.06	2776
519.25	2816
519.43	2931
519.62	3069
519.81	2826
520	3009
520.18	2950
520.37	3043
520.56	3058
520.75	2967
520.93	3028
521.12	3213
521.31	2947
521.5	3237
521.68	3223
521.87	3134
522.06	3228
522.25	3318
522.43	3344
522.62	3174
522.81	3234
523	3481
523.18	3463
523.37	3519
523.56	3544
523.75	3363
523.93	3403
524.12	3242
524.31	3307
524.5	3358
524.68	3520
524.87	3527
525.06	3617
525.25	3703
525.43	3686
525.62	3557
525.81	3648
526	3476
526.18	3528
526.37	3668
526.56	3565
526.75	3666
526.93	3562
527.12	3630
527.31	3592
527.5	3718
527.68	3724
527.87	3694
528.06	3672
528.25	3718
528.43	3634
528.62	3921
528.81	3734
529	3573
529.18	3740
529.37	3568
529.56	3868
529.75	3716
529.93	3781
530.12	3849
530.31	3775
530.5	3747
530.68	3933
530.87	3741
531.06	3832
531.25	3714
531.43	3929
531.62	3741
531.81	3767
532	3715
532.18	3574
532.37	3774
532.56	3851
532.75	3797
532.93	3614
533.12	3622
533.31	3709
533.5	3539
533.68	3808
533.87	3608
534.06	3677
534.25	3828
534.43	3669
534.62	3734
534.81	3670
535	3774
535.18	3524
535.37	3519
535.56	3581
535.75	3669
535.93	3570
536.12	3511
536.31	3455
536.5	3608
536.68	3445
536.87	3523
537.06	3438
537.25	3296
537.43	3380
537.62	3347
537.81	3632
538	3394
538.18	3423
538.37	3402
538.56	3334
538.75	3273
538.93	3510
539.12	3344
539.31	3333
539.5	3277
539.68	3280
539.87	3182
540.06	3203
540.25	3292
540.43	3127
540.62	3047
540.81	3108
541	3145
541.18	3101
541.37	3029
541.56	3102
541.75	2975
541.93	3033
542.12	3007
542.31	3085
542.5	3114
542.68	3003
542.87	3006
543.06	2808
543.25	2968
543.43	2876
543.62	2906
543.81	2950
544	3156
544.18	3134
544.37	2817
544.56	2772
544.75	2890
544.93	2677
545.12	2772
545.31	2667
545.5	2770
545.68	2781
545.87	2946
546.06	2692
546.25	2731
546.43	2678
546.62	2747
546.81	2717
547	2664
547.18	2602
547.37	2699
547.56	2812
547.75	2707
547.93	2782
548.12	2711
548.31	2805
548.5	2679
548.68	2646
548.87	2724
549.06	2680
549.25	2738
549.43	2881
549.62	2672
549.81	2790
550	2770
550.18	2599
550.37	2790
550.56	2847
550.75	2924
550.93	2794
551.12	2639
551.31	2752
551.5	3009
551.68	2918
551.87	2986
552.06	3016
552.25	2921
552.43	2939
552.62	3106
552.81	3022
553	3139
553.18	3018
553.37	3207
553.56	3047
553.75	3154
553.93	3142
554.12	3357
554.31	3246
554.5	3290
554.68	3392
554.87	3254
555.06	3523
555.25	3561
555.43	3514
555.62	3582
555.81	3532
556	3640
556.18	3541
556.37	3717
556.56	3617
556.75	3651
556.93	3899
557.12	3889
557.31	3810
557.5	3830
557.68	3857
557.87	3936
558.06	3995
558.25	4044
558.43	4085
558.62	4296
558.81	4172
559	4228
559.18	4344
559.37	4403
559.56	4154
559.75	4254
559.93	4427
560.12	4488
560.31	4548
560.5	4596
560.68	4835
560.87	4696
561.06	4750
561.25	4819
561.43	4825
561.62	4786
561.81	5049
562	5177
562.18	5094
562.37	5049
562.56	5169
562.75	5284
562.93	5400
563.12	5386
563.31	5296
563.5	5527
563.68	5440
563.87	5466
564.06	5476
564.25	5701
564.43	5708
564.62	5631
564.81	5972
565	5665
565.18	5873
565.37	5903
565.56	5935
565.75	5893
565.93	5981
566.12	6163
566.31	6156
566.5	6158
566.68	6207
566.87	6123
567.06	6195
567.25	6232
567.43	6317
567.62	6525
567.81	6401
568	6388
568.18	6237
568.37	6617
568.56	6416
568.75	6562
568.93	6529
569.12	6463
569.31	6835
569.5	6757
569.68	6627
569.87	6746
570.06	6698
570.25	6807
570.43	6754
570.62	6795
570.81	6878
571	6906
571.18	6956
571.37	7042
571.56	6829
571.75	7096
571.93	7172
572.12	7185
572.31	6954
572.5	7128
572.68	6955
572.87	7109
573.06	7134
573.25	7042
573.43	7442
573.62	7173
573.81	7260
574	7054
574.18	7237
574.37	7359
574.56	6965
574.75	7334
574.93	7306
575.12	7089
575.31	7221
575.5	7194
575.68	7103
575.87	7430
576.06	6973
576.25	7169
576.43	7300
576.62	7269
576.81	7302
577	7161
577.18	7350
577.37	7224
577.56	7107
577.75	7205
577.93	7173
578.12	6991
578.31	7050
578.5	6901
578.68	6800
578.87	7020
579.06	6905
579.25	6866
579.43	6784
579.62	6926
579.81	6846
580	6629
580.18	6530
580.37	6365
580.56	6608
580.75	6472
580.93	6492
581.12	6431
581.31	6329
581.5	6312
581.68	6184
581.87	6113
582.06	6290
582.25	6165
582.43	6024
582.62	6026
582.81	5821
583	5880
583.18	5970
583.37	5739
583.56	5849
583.75	5858
583.93	5757
584.12	5527
584.31	5545
584.5	5639
584.68	5616
584.87	5355
585.06	5527
585.25	5414
585.43	5320
585.62	5341
585.81	5271
586	5358
586.18	5140
586.37	5313
586.56	4930
586.75	5247
586.93	5171
587.12	5158
587.31	4957
587.5	5072
587.68	5016
587.87	5178
588.06	5046
588.25	4888
588.43	4967
588.62	4964
588.81	5005
589	5050
589.18	5126
589.37	5089
589.56	4965
589.75	5040
589.93	5156
590.12	4887
590.31	5007
590.5	5122
590.68	5086
590.87	5241
591.06	5122
591.25	5153
591.43	5160
591.62	5361
591.81	5166
592	5286
592.18	5440
592.37	5401
592.56	5515
592.75	5531
592.93	5854
593.12	5952
593.31	5807
593.5	6002
593.68	5986
593.87	6022
594.06	6265
594.25	6319
594.43	6288
594.62	6456
594.81	6467
595	6644
595.18	6594
595.37	6861
595.56	6949
595.75	6998
595.93	6975
596.12	7033
596.31	7443
596.5	7344
596.68	7600
596.87	7665
597.06	7643
597.25	7598
597.43	7921
597.62	7910
597.81	8063
598	7947
598.18	8242
598.37	8384
598.56	8554
598.75	8506
598.93	8618
599.12	8777
599.31	8646
599.5	8905
599.68	9102
599.87	9111
600.06	9179
600.25	9226
600.43	9290
600.62	9622
600.81	9487
601	9571
601.18	9691
601.37	9875
601.56	10042
601.75	10035
601.93	10046
602.12	10120
602.31	10522
602.5	10506
602.68	10341
602.87	10641
603.06	10660
603.25	10751
603.43	10720
603.62	10959
603.81	11140
604	11069
604.18	11170
604.37	11200
604.56	11492
604.75	11476
604.93	11355
605.12	11652
605.31	11557
605.5	11531
605.68	11837
605.87	11945
606.06	11773
606.25	12027
606.43	12234
606.62	12262
606.81	12454
607	12214
607.18	12357
607.37	12318
607.56	12364
607.75	12256
607.93	12515
608.12	12764
608.31	12825
608.5	12713
608.68	12632
608.87	12823
609.06	12777
609.25	12857
609.43	12824
609.62	12936
609.81	12953
610	12803
610.18	13078
610.37	12978
610.56	13193
610.75	13202
610.93	13152
611.12	13172
611.31	13227
611.5	13119
611.68	13127
611.87	13184
612.06	13079
612.25	13095
612.43	13307
612.62	13255
612.81	13401
613	13177
613.18	13188
613.37	13223
613.56	13378
613.75	13441
613.93	13300
614.12	13526
614.31	13412
614.5	13374
614.68	13230
614.87	13322
615.06	13149
615.25	13278
615.43	13148
615.62	13145
615.81	13108
616	13146
616.18	13014
616.37	13207
616.56	12935
616.75	13032
616.93	13108
617.12	13383
617.31	12950
617.5	13018
617.68	12750
617.87	12886
618.06	12769
618.25	12631
618.43	12559
618.62	12535
618.81	12874
619	12536
619.18	12670
619.37	12440
619.56	12274
619.75	12317
619.93	12277
620.12	12204
620.31	12190
620.5	12150
620.68	12245
620.87	12236
621.06	12016
621.25	11877
621.43	11832
621.62	11540
621.81	11438
622	11597
622.18	11395
622.37	11463
622.56	11120
622.75	11202
622.93	11118
623.12	11167
623.31	10784
623.5	10771
623.68	10574
623.87	10676
624.06	10585
624.25	10514
624.43	10484
624.62	10247
624.81	10088
625	9941
625.18	9981
625.37	10076
625.56	9921
625.75	9749
625.93	9859
626.12	9732
626.31	9476
626.5	9388
626.68	9261
626.87	9412
627.06	9390
627.25	9201
627.43	9108
627.62	9110
627.81	9218
628	9131
628.18	8936
628.37	8820
628.56	9012
628.75	8788
628.93	8769
629.12	8517
629.31	8578
629.5	8918
629.68	8801
629.87	8702
630.06	8495
630.25	8687
630.43	8552
630.62	8619
630.81	8296
631	8571
631.18	8439
631.37	8389
631.56	8394
631.75	8271
631.93	8200
632.12	8332
632.31	8311
632.5	8418
632.68	8300
632.87	8268
633.06	8279
633.25	8236
633.43	8367
633.62	8638
633.81	8389
634	8555
634.18	8535
634.37	8659
634.56	8305
634.75	8638
634.93	8691
635.12	8743
635.31	8832
635.5	8974
635.68	8747
635.87	8981
636.06	8962
636.25	8950
636.43	9067
636.62	9257
636.81	9069
637	9364
637.18	9541
637.37	9670
637.56	9891
637.75	9886
637.93	9960
638.12	10410
638.31	10459
638.5	10355
638.68	10617
638.87	10758
639.06	10991
639.25	11280
639.43	11282
639.62	11568
639.81	11687
640	12118
640.18	12222
640.37	12387
640.56	12176
640.75	12735
640.93	12827
641.12	13169
641.31	13325
641.5	13741
641.68	13980
641.87	14396
642.06	14787
642.25	14696
642.43	15068
642.62	15331
642.81	16006
643	15995
643.18	16348
643.37	16630
643.56	17154
643.75	17339
643.93	17870
644.12	18849
644.31	18755
644.5	19243
644.68	19494
644.87	19982
645.06	20618
645.25	20946
645.43	21771
645.62	22135
645.81	22951
646	23306
646.18	23802
646.37	24619
646.56	25296
646.75	25808
646.93	26422
647.12	27232
647.31	27792
647.5	28708
647.68	29399
647.87	30141
648.06	30856
648.25	31318
648.43	32533
648.62	32677
648.81	33219
649	33867
649.18	34314
649.37	34984
649.56	35756
649.75	36618
649.93	37370
650.12	38021
650.31	38756
650.5	39440
650.68	41173
650.87	41843
651.06	42694
651.25	43944
651.43	44818
651.62	46117
651.81	47103
652	48477
652.18	49699
652.37	50408
652.56	51778
652.75	52424
652.93	53639
653.12	54985
653.31	56283
653.5	57491
653.68	58757
653.87	59988
654.06	60936
654.25	62106
654.43	63504
654.62	64425
654.81	65686
655	66795
655.18	67991
655.37	68822
655.56	70539
655.75	71146
655.93	72128
656.12	73691
656.31	73819
656.5	74750
656.68	75948
656.87	77537
657.06	77767
657.25	78408
657.43	79271
657.62	80374
657.81	80912
658	81497
658.18	82163
658.37	82528
658.56	83009
658.75	83540
658.93	83855
659.12	84007
659.31	84182
659.5	84773
659.68	84365
659.87	84627
660.06	85265
660.25	84898
660.43	84829
660.62	84886
660.81	84388
661	83927
661.18	84025
661.37	83553
661.56	82931
661.75	82337
661.93	81655
662.12	81703
662.31	80748
662.5	79919
662.68	79260
662.87	78276
663.06	77375
663.25	76369
663.43	75366
663.62	74160
663.81	73019
664	72171
664.18	71080
664.37	69381
664.56	68542
664.75	67211
664.93	66093
665.12	64941
665.31	63331
665.5	61651
665.68	60915
665.87	59435
666.06	57883
666.25	56883
666.43	55588
666.62	54056
666.81	52394
667	51466
667.18	50072
667.37	48451
667.56	47109
667.75	45934
667.93	44368
668.12	43288
668.31	42319
668.5	40917
668.68	39771
668.87	38449
669.06	37374
669.25	36203
669.43	34660
669.62	33937
669.81	32909
670	31441
670.18	30674
670.37	29558
670.56	28670
670.75	27559
670.93	26258
671.12	25371
671.31	24304
671.5	23549
671.68	22653
671.87	21572
672.06	20773
672.25	19866
672.43	19271
672.62	18328
672.81	17664
673	16648
673.18	15982
673.37	14925
673.56	14132
673.75	13547
673.93	12681
674.12	12120
674.31	11305
674.5	11014
674.68	10601
674.87	9956
675.06	9501
675.25	9470
675.43	8534
675.62	8387
675.81	8275
676	7492
676.18	7224
676.37	6794
676.56	6812
676.75	6597
676.93	6105
677.12	5889
677.31	5622
677.5	5486
677.68	5281
677.87	5072
678.06	5029
678.25	4508
678.43	4373
678.62	4416
678.81	4396
679	3862
679.18	3896
679.37	3824
679.56	3553
679.75	3607
679.93	3448
680.12	3359
680.31	3214
680.5	3192
680.68	2992
680.87	2921
681.06	2686
681.25	2945
681.43	2810
681.62	2429
681.81	2463
682	2411
682.18	2341
682.37	2641
682.56	2210
682.75	2228
682.93	2035
683.12	1958
683.31	1997
683.5	1942
683.68	1742
683.87	1971
684.06	1652
684.25	1671
684.43	1813
684.62	1760
684.81	1579
685	1541
685.18	1361
685.37	1502
685.56	1592
685.75	1442
685.93	1493
686.12	1258
686.31	1689
686.5	1384
686.68	1283
686.87	1531
687.06	1327
687.25	1254
687.43	1196
687.62	1037
687.81	1066
688	1114
688.18	1093
688.37	1229
688.56	1142
688.75	1176
688.93	925
689.12	997
689.31	1001
689.5	899
689.68	1060
689.87	928
690.06	863
690.25	831
690.43	1122
690.62	961
690.81	1036
691	1002
691.18	793
691.37	882
691.56	1012
691.75	873
691.93	885
692.12	670
692.31	1036
692.5	992
692.68	781
692.87	770
693.06	936
693.25	694
693.43	690
693.62	746
693.81	880
694	853
694.18	730
694.37	357
694.56	948
694.75	733
694.93	408
695.12	795
695.31	411
695.5	839
695.68	585
695.87	580
696.06	637
696.25	807
696.43	608
696.62	635
696.81	719
697	704
697.18	538
697.37	409
697.56	573
697.75	514
697.93	629
698.12	402
698.31	518
698.5	525
698.68	389
698.87	405
699.06	448
699.25	444
699.43	725
699.62	269
699.81	408
700	449
